"cancer_type","sample_id","expression"
"ACC","43e715bf-28d9-4b5e-b762-8cd1b69a430e",2382672.24115518
"ACC","1a5db9fc-2abd-4e1b-b5ef-b1cf5e5f3872",158076.56723934
"ACC","93b382e4-9c9a-43f5-bd3b-502cc260b886",4813793.34574711
"ACC","1f39dadd-3655-474e-ba4c-a5bd32c97a8b",7683495.5322114
"ACC","8c8c09b9-ec83-45ec-bc4c-0ba92de60acb",1151178.72325475
"ACC","85a86b91-4f24-4e77-ae2d-520f8e205efc",3746969.75020202
"ACC","ded8acf3-bbd8-46c9-85c9-a9c8f2e2bc0b",10471044.2797082
"ACC","fe298483-c42c-4753-babb-29a9cb1b6312",7873859.63063158
"ACC","f7cb1825-2303-4dd2-ae1f-7205738eaf1f",15183419.4099943
"ACC","e14825e0-0dc7-44c2-b265-f54672356838",5622995.93624471
"ACC","487cade1-d699-4a6c-817a-b9a0ab940c61",5170584.03307217
"ACC","30967f75-8499-47ff-ada4-4dc566013f7b",6015470.37674642
"ACC","af573ec8-e4ee-4b8f-8199-9817b9fac67d",19471360.4796871
"ACC","57e30d4e-abf7-47dd-92be-40ce215076b0",2014521.77680966
"ACC","a26025ac-9f71-4c07-9135-83593193bbb2",16538816.47519
"ACC","77069279-5a6f-42c0-9aa5-8c939591dfb5",7559111.82939255
"ACC","8ef0039b-d758-46ab-baf7-6a062c7c56ba",6579395.47248474
"ACC","4ff6f2d8-f869-4735-a4d1-1a8423153fbc",6564042.20684163
"ACC","bf6fa8cc-60c1-413a-b2c6-54ccacbc01d6",6845026.8769982
"ACC","1ad72157-a254-44b4-ba58-4f30f1ae910e",6612385.6702854
"ACC","ae6f8b89-85c2-42b7-8d05-afddd4fefd16",13307592.3128272
"ACC","cb0f961c-527d-4a48-9408-286b26bd9532",8771328.85968918
"ACC","899cb9e0-48d0-413d-8566-bc151f146453",15352726.9320404
"ACC","f803ae18-60c5-4cfe-aaab-db33c26a2184",1863003.43135533
"ACC","94fc8991-182b-4b00-9a06-a00e8d3bdcfa",3747098.57241565
"ACC","80275db0-a226-4b6b-a08f-4adbeee1db01",5409303.30604644
"ACC","725bbfb5-26f4-4512-9c75-47d013c1e605",3093841.12707726
"ACC","4f5498c4-a423-4b3d-ac98-d4e214a57d0e",7225099.25166005
"ACC","2d6c5aa7-3b33-48d7-ae0c-77a16b749d13",903711.250863695
"ACC","0ea7c916-fa47-489b-bc98-4d9e7d197628",9647202.80129758
"ACC","539c8de3-6152-4671-b96f-ed6dc6dbd22b",10855250.6763166
"ACC","dd4f845b-cad3-44cb-9d96-3c3f5ba1b72d",4226727.09599597
"ACC","53640d52-1167-4a5d-b656-97d32cba3934",3960638.95817962
"ACC","84d25635-2a38-4cfb-bfac-38c007625c42",7426506.92712175
"ACC","3420e573-de12-4ef5-b1c0-2fca904f4f4e",17318624.1787584
"ACC","62945c7a-9313-4fc9-820c-b0ab820b394e",15493389.0782185
"ACC","acd73ce8-afc5-47a0-9383-3cb97f018953",11024078.0428392
"ACC","a771f6e3-d266-4fe7-98c6-c40e6a701d59",553186.007565377
"ACC","abf1ac12-872a-4c3d-a76c-07bc36a4da5e",2548138.51901298
"ACC","11f1b8ca-07c1-47d2-a3c6-032ffa6a4a64",6828795.27808032
"ACC","048adc6e-8c7e-4875-acee-e4787203c078",4065605.64007074
"ACC","cc8017c7-4128-48da-8e43-503f63158d85",7199779.83112578
"ACC","cf10d584-ce32-45a4-a932-e9d5af12a6a0",553455.363102975
"ACC","6f8c6f90-7e3c-4860-91dd-586708de44aa",28441684.5261099
"ACC","8ba9928a-5b93-477f-b4a2-d031b714d9ac",1942299.35940226
"ACC","6fc5b56b-711b-4174-9b06-4e843124aab6",941549.84834112
"ACC","83286e2d-e708-437a-911a-e6b050273cbd",8894330.65148906
"ACC","da8b577e-43e7-49bf-bf94-868e3194f5c9",9163943.83351483
"ACC","75f7b5e2-6559-4b48-a2a4-287c35c559cc",3351953.99875862
"ACC","88c31a99-f96e-4fc8-8b3d-c1aaa05062d9",446263.570249095
"ACC","3f022cbc-41c8-4387-a6fb-124c4bcd1ad9",5085455.97208071
"ACC","f904c5b6-70bd-4604-8254-79be23b152da",815011.301221468
"ACC","bc2c3248-7fc6-48bc-96c1-45ea573de7dc",14345747.1102835
"ACC","fd445384-6ba9-4297-9d9c-12aba7d645c7",11518275.1876705
"ACC","f972a9aa-9842-4343-a533-a795e65581ce",1848809.56563492
"ACC","78700fba-1487-4754-9b30-18837bf7e9fb",1907962.38391362
"ACC","46c7dde5-a2b5-494f-96ae-0b6e2d51b003",6006956.39953624
"ACC","eb8d5168-216e-4abb-8b4e-9e67786cb322",4960650.66928995
"ACC","1f553062-26fd-4a7f-b7fb-81184604f423",18156788.345103
"ACC","1a09bc4d-ef29-42dd-bb04-a3c264a3032d",603133.893124406
"ACC","282d390d-8e4e-4a19-b2b7-a6db4bb2d46c",13859818.0093455
"ACC","ee98e1b4-dfb3-4aec-8527-e1fd544c9475",10730773.2846151
"ACC","ef18318d-3d25-4d65-803a-ed6e62871e7e",1964093.73572708
"ACC","ae4bfe63-f0c0-4624-ad97-4f7ff13e2384",2896871.96243076
"ACC","2c80dd72-c9c7-4ac2-812f-9a31ef02779c",10920141.9386572
"ACC","e72cebcb-d686-4b12-bcba-ec8f964330a2",9250758.29439389
"ACC","1acb1be0-61f6-4243-bbec-e26a1cf90ca8",10336635.8664465
"ACC","193ccbe6-104f-49b4-bdb2-c82ee36fdaad",4220859.82972045
"ACC","3354212d-a07c-435c-8b0c-9a7baab624b5",17162842.9891438
