"tissue_type","mean_PSI","median_PSI","sd_PSI","n_samples"
"Adipose - Subcutaneous",91.3186117777102,92.8571428571429,12.2962223175267,197
"Adipose - Visceral (Omentum)",82.8600151351175,85.7142857142857,13.5192353836316,311
"Adrenal Gland",82.4699510289801,86.2068965517241,13.2093555373573,266
"Artery - Aorta",87.2021194826049,89.4736842105263,11.7552880088858,236
"Artery - Coronary",85.4694154561584,90.9090909090909,15.0132300377689,59
"Artery - Tibial",91.7541864679818,93.3333333333333,10.0251149783266,95
"Brain - Amygdala",9.23322668368812,5.63492063492063,10.4046493044352,122
"Brain - Anterior cingulate cortex (BA24)",4.03020764117271,1.5625,8.11675113576011,178
"Brain - Caudate (basal ganglia)",1.98342144639246,0,4.19305004306108,243
"Brain - Cerebellar Hemisphere",0.343741295034327,0.159744408945687,0.886605236831942,245
"Brain - Cerebellum",0.369642099542671,0.202634453194931,0.651967470291589,282
"Brain - Cortex",1.96209325034616,1.01651186790506,3.46445303187822,266
"Brain - Frontal Cortex (BA9)",2.15294238324377,0,5.82253298457317,210
"Brain - Hippocampus",4.78823297035636,2.5,7.51245250588333,157
"Brain - Hypothalamus",3.01699529804017,1.5625,4.75738142934227,195
"Brain - Nucleus accumbens (basal ganglia)",1.56333655787314,0,2.96916326570812,233
"Brain - Putamen (basal ganglia)",2.12914215646535,0,4.48369368093364,182
"Brain - Spinal cord (cervical c-1)",4.25843099183356,0,6.53289368814399,57
"Brain - Substantia nigra",5.38976662976517,3.12805474095797,7.61924579055527,86
"Breast - Mammary Tissue",85.1249969552443,88.4615384615385,14.3556025738805,198
"Cells - Cultured fibroblasts",92.5556344116155,93.75,7.83378949492027,275
"Colon - Sigmoid",50.8316579159139,49.0740740740741,19.9937721500373,80
"Colon - Transverse",64.0030008506899,63.0681818181818,20.2319836419397,70
"Esophagus - Gastroesophageal Junction",78.0118248994515,81.3953488372093,16.8470109851233,77
"Esophagus - Mucosa",87.1397273071493,88.8888888888889,9.61630859334263,590
"Esophagus - Muscularis",75.4387530175288,80,18.9515821788267,97
"Heart - Atrial Appendage",87.1802421782817,89.2857142857143,9.90036510097781,420
"Heart - Left Ventricle",91.5081754502202,93.3333333333333,9.99419585691995,201
"Lung",77.4657128124736,81.8181818181818,20.5159142255937,42
"Minor Salivary Gland",63.419786071991,63.961038961039,21.9810707319715,106
"Nerve - Tibial",93.1290207377164,97.2222222222222,10.043146857012,46
"Ovary",81.6613762587933,87.3397435897436,18.7781153937865,146
"Pancreas",52.0814153167094,50,19.5387809327161,17
"Pituitary",4.43653905393565,2.19806763285024,8.1949993368664,290
"Prostate",63.5125821450663,66.6666666666667,18.9345173827445,159
"Skin - Not Sun Exposed (Suprapubic)",88.3477642871417,90,9.6418508142855,500
"Skin - Sun Exposed (Lower leg)",91.3793852643655,92.7700348432056,8.91203234717955,596
"Small Intestine - Terminal Ileum",71.0644185535826,72.7272727272727,17.9620563401199,20
"Stomach",69.5086425012896,68.9903846153846,19.8363902750053,30
"Testis",71.6072603819353,71.4285714285714,13.0325488983241,309
"Thyroid",73.417726155678,75,18.6749528348988,220
"Vagina",77.9931144151724,80,14.3451310174472,153
